Id,coord1,coord2,Serol,Year,Month,Day,Week,Site,Region,MetaRegion,MetaRegionB,Sex,Age,UK_Date,Date_continuous
7675,-10.64,-77.82,0,2015,10,24,43,LMA5,Lima,Lima,Lima,M,SA,24/10/2015,2015.833333
7676,-10.64,-77.82,0,2015,10,24,43,LMA5,Lima,Lima,Lima,F,A,24/10/2015,2015.833333
7678,-10.64,-77.82,0,2015,10,24,43,LMA5,Lima,Lima,Lima,F,A,24/10/2015,2015.833333
7679,-10.64,-77.82,0,2015,10,24,43,LMA5,Lima,Lima,Lima,F,A,24/10/2015,2015.833333
7680,-10.64,-77.82,1,2015,10,24,43,LMA5,Lima,Lima,Lima,F,A,24/10/2015,2015.833333
7681,-10.64,-77.82,0,2015,10,24,43,LMA5,Lima,Lima,Lima,F,A,24/10/2015,2015.833333
7682,-10.64,-77.82,1,2015,10,24,43,LMA5,Lima,Lima,Lima,F,A,24/10/2015,2015.833333
7683,-10.64,-77.82,1,2015,10,24,43,LMA5,Lima,Lima,Lima,F,A,24/10/2015,2015.833333
7684,-10.64,-77.82,1,2015,10,24,43,LMA5,Lima,Lima,Lima,F,A,24/10/2015,2015.833333
7685,-10.64,-77.82,0,2015,10,24,43,LMA5,Lima,Lima,Lima,F,SA,24/10/2015,2015.833333
7686,-10.64,-77.82,0,2015,10,24,43,LMA5,Lima,Lima,Lima,F,A,24/10/2015,2015.833333
7687,-10.64,-77.82,1,2015,10,24,43,LMA5,Lima,Lima,Lima,M,A,24/10/2015,2015.833333
7688,-11.58835,-77.2784,0,2015,10,26,43,LMA10,Lima,Lima,Lima,M,A,26/10/2015,2015.833333
7689,-11.58835,-77.2784,0,2015,10,26,43,LMA10,Lima,Lima,Lima,F,A,26/10/2015,2015.833333
7691,-11.58835,-77.2784,0,2015,10,26,43,LMA10,Lima,Lima,Lima,F,A,26/10/2015,2015.833333
7692,-11.58835,-77.2784,1,2015,10,26,43,LMA10,Lima,Lima,Lima,M,A,26/10/2015,2015.833333
7693,-11.58835,-77.2784,0,2015,10,26,43,LMA10,Lima,Lima,Lima,F,A,26/10/2015,2015.833333
7694,-11.58835,-77.2784,0,2015,10,26,43,LMA10,Lima,Lima,Lima,F,A,26/10/2015,2015.833333
3258,-11.06,-77.46,1,2016,4,28,17,LMA6,Lima,Lima,Lima,M,A,28/04/2016,2016.333333
3274,-11.06,-77.46,1,2016,4,28,17,LMA6,Lima,Lima,Lima,M,A,28/04/2016,2016.333333
3288,-11.06,-77.46,0,2016,4,28,17,LMA6,Lima,Lima,Lima,F,A,28/04/2016,2016.333333
6641,-11.06,-77.46,1,2016,4,28,17,LMA6,Lima,Lima,Lima,M,A,28/04/2016,2016.333333
7658,-11.06,-77.46,0,2016,4,28,17,LMA6,Lima,Lima,Lima,M,A,28/04/2016,2016.333333
3859,-10.64,-77.82,1,2016,4,30,18,LMA5,Lima,Lima,Lima,M,A,30/04/2016,2016.333333
3861,-10.64,-77.82,1,2016,4,30,18,LMA5,Lima,Lima,Lima,M,A,30/04/2016,2016.333333
9079,-11.06,-77.46,1,2016,4,28,17,LMA6,Lima,Lima,Lima,F,A,28/04/2016,2016.333333
9080,-11.06,-77.46,0,2016,4,28,17,LMA6,Lima,Lima,Lima,M,A,28/04/2016,2016.333333
9081,-11.06,-77.46,1,2016,4,28,17,LMA6,Lima,Lima,Lima,M,A,28/04/2016,2016.333333
6605,-10.64,-77.82,1,2016,4,30,18,LMA5,Lima,Lima,Lima,M,A,30/04/2016,2016.333333
9083,-11.06,-77.46,1,2016,4,28,17,LMA6,Lima,Lima,Lima,F,A,28/04/2016,2016.333333
9084,-11.06,-77.46,1,2016,4,28,17,LMA6,Lima,Lima,Lima,F,A,28/04/2016,2016.333333
9085,-11.06,-77.46,1,2016,4,28,17,LMA6,Lima,Lima,Lima,F,A,28/04/2016,2016.333333
7668,-10.64,-77.82,1,2016,4,30,18,LMA5,Lima,Lima,Lima,M,A,30/04/2016,2016.333333
7681,-10.64,-77.82,0,2016,4,30,18,LMA5,Lima,Lima,Lima,F,A,30/04/2016,2016.333333
7686,-10.64,-77.82,0,2016,4,30,18,LMA5,Lima,Lima,Lima,F,A,30/04/2016,2016.333333
